,state_or_UT,population,population_perc,Sex_ratio,Nominal_GDP_INR
0,UttarPradesh,199281477,16.49,908,14.46lakhcrore
1,Maharashtra,112372972,9.28,946,25.35lakhcrore
2,Bihar,103804637,8.58,916,6.32lakhcrore
3,WestBengal,91347736,7.55,947,9.20lakhcrore
4,MadhyaPradesh,72597565,6.00,931,7.35lakhcrore
5,TamilNadu,72138958,5.96,995,13.39lakhcrore
6,Rajasthan,68621012,5.67,926,7.50lakhcrore
7,Karnataka,61130704,5.05,968,12.80lakhcrore
8,Gujarat,60383628,5.00,918,12.75lakhcrore
9,AndhraPradesh,49386799,4.08,993,6.99lakhcrore
10,Odisha,41947358,3.47,978,4.12lakhcrore
11,Telangana,35286757,2.97,988,7.50lakhcrore
12,Kerala,33387677,2.76,1084,7.48lakhcrore
13,Jharkhand,32966238,2.72,947,2.82lakhcrore
14,Assam,31169272,2.58,954,2.58lakhcrore
15,Punjab,27704236,2.30,893,4.65lakhcrore
16,Chhattisgarh,25540196,2.11,991,2.90lakhcrore
17,Haryana,25353081,2.09,877,6.18lakhcrore
18,JammuandKashmir,12548926,1.04,883,1.51lakhcrore
19,Uttarakhand,10116752,0.84,963,2.30lakhcrore
20,HimachalPradesh,6864602,0.57,974,1.24lakhcrore
21,Tripura,3671032,0.30,961,29666crore
22,Meghalaya,2964007,0.24,986,29567crore
23,Nagaland,1980602,0.16,931,17727crore
24,Goa,1457723,0.12,968,70400crore
25,ArunachalPradesh,1382611,0.11,920,19492crore
26,Mizoram,1091014,0.09,975,17561crore
27,Sikkim,607688,0.05,889,16637crore
28,Delhi,18980000,1.38,866,6.22lakhcrore
29,Puducherry,1244464,0.10,1038,29557crore
30,Chandigarh,1055450,0.09,818,30304crore
31,AndamanandNicobarIslands,379944,0.03,878,6150crore
32,DadraandNagarHaveli,342853,0.03,775,2440crore
33,DamanandDiu,242911,0.02,618,1059crore
34,Lakshadweep,64429,0.01,946,407crore
35,India,1210193422,100,943,172lakhcrore
